CROPS,TYPE_OF_CROP,SOIL,SEASON,SOWN,HARVESTED,WATER_SOURCE,SOIL_PH,SOIL_PH_HIGH,CROPDURATION,CROPDURATION_MAX,TEMP,MAX_TEMP,WATERREQUIRED,WATERREQUIRED_MAX,RELATIVE_HUMIDITY,RELATIVE_HUMIDITY_MAX,N,N_MAX,P,P_MAX,K,K_MAX
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,7.6,8.0,116.9,150,26.9,40,2462.3,2500,73.8,80,82.4,100,40.7,60,42.2,60
rice,cereals,Loamy soil,kharif,Jul,Oct,rainfed,6.2,8.0,117.9,150,35.8,40,1237.5,2500,60.9,80,90.5,100,51.3,60,46.2,60
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,6.7,8.0,117.7,150,34.9,40,1075.1,2500,67.5,80,86.2,100,50.7,60,44.4,60
rice,cereals,Alluvial soil,kharif,Jul,Oct,rainfed,6.1,8.0,149.8,150,28.3,40,1549.9,2500,73.6,80,91.3,100,51.3,60,44.5,60
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,8.0,8.0,131.7,150,26.3,40,1306.4,2500,60.3,80,81.3,100,48.6,60,51.0,60
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,7.9,8.0,137.7,150,28.3,40,1048.8,2500,60.9,80,97.6,100,40.1,60,56.3,60
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,7.3,8.0,143.3,150,25.7,40,1082.8,2500,70.1,80,84.2,100,54.4,60,43.0,60
rice,cereals,Loamy soil,kharif,Jul,Oct,rainfed,6.4,8.0,132.8,150,34.4,40,903.9,2500,73.4,80,96.0,100,40.2,60,52.7,60
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,5.6,8.0,115.8,150,25.1,40,1049.7,2500,76.7,80,90.7,100,48.5,60,40.4,60
rice,cereals,Alluvial soil,kharif,Jul,Oct,rainfed,5.9,8.0,116.9,150,26.4,40,1390.5,2500,73.2,80,87.6,100,59.2,60,42.5,60
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,7.5,8.0,112.8,150,33.6,40,1140.8,2500,62.8,80,88.8,100,52.5,60,56.6,60
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,7.1,8.0,122.1,150,35.3,40,2158.4,2500,71.9,80,86.9,100,54.1,60,59.4,60
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,6.3,8.0,124.5,150,21.5,40,1016.3,2500,61.3,80,83.4,100,59.8,60,47.6,60
rice,cereals,Loamy soil,kharif,Jul,Oct,rainfed,6.4,8.0,121.7,150,32.8,40,1690.2,2500,60.7,80,89.9,100,44.3,60,47.1,60
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,6.9,8.0,133.5,150,22.8,40,1645.3,2500,78.6,80,86.3,100,53.3,60,57.8,60
rice,cereals,Alluvial soil,kharif,Jul,Oct,rainfed,8.0,8.0,118.8,150,27.6,40,2333.1,2500,68.0,80,98.7,100,45.9,60,50.0,60
